UNITID,Institution Name,City,State,ZIP,County,Distance from KC (mi),Tier,Tier Label,Control,Level,Sector,Institution Size,Degree-Granting,Locale,HBCU,Website,Total Completions (2024),Unique Programs (2024),Top CIP Family (2024),Top CIP Family Completions (2024),Certificate Completions (2024),Associate's Completions (2024),Bachelor's Completions (2024),Master's Completions (2024),Doctoral Completions (2024),12-Mo Total Enrollment,12-Mo Undergraduate,12-Mo Graduate,12-Mo Full-Time,12-Mo Part-Time,Full-Time %,12-Mo Total Male,12-Mo Total Female,Enrl % White,Enrl % Black,Enrl % Hispanic,Enrl % Asian,Enrl % AIAN,Enrl % NHPI,Enrl % Two+,Enrl % Unknown,Enrl % Nonresident,Yield Rate (%),GR Cohort Type,GR Cohort Size,GR Completers (150%),Graduation Rate (%),OM Adjusted Cohort,Award Rate 4yr (%),Award Rate 6yr (%),Award Rate 8yr (%),Still Enrolled 8yr (%),Awards at 4yr,Awards at 6yr,Awards at 8yr,Cert at 8yr,Assoc at 8yr,Bach at 8yr,SFA UG Students,SFA FTFT Students,FTFT % of UG,Any Aid (%),Any Aid Count,Any Grant (%),Any Grant Count,Avg Grant Amount,Pell Grant (%),Pell Grant Count,Avg Pell Amount,Federal Loan (%),Federal Loan Count,Avg Federal Loan,Avg Total Grant (FTFT),Avg Federal Grant (FTFT),Avg State Grant (FTFT),Avg Institutional Grant (FTFT),Avg Loan (FTFT),Avg Federal Loan (FTFT)
457697,City Vision University,Kansas City,MO,64106-3028,Jackson County,0.5,1,Core KC Metro (0-30 mi),Private not-for-profit,Four-year or above,"Private not-for-profit, 4-year or above","Under 1,000",Degree-granting,City: Large,No,https://www.cityvision.edu/,79,4,"Business, Management & Marketing",29,24,21,21,7,0,422,,,,,,193,229,61.8,14.2,14.5,0.7,0.7,0.2,6.2,0.0,1.7,18.7,BA-seeking at 4yr (150%),2,,,,,,,,,,,,,,211,9,4.3,89.0,8,90.0,190,6350,68.0,143,6304,0.0,0,,9183,7495,,1929,,
179812,Kansas City University,Kansas City,MO,64106-1453,Jackson County,1.1,1,Core KC Metro (0-30 mi),Private not-for-profit,Four-year or above,"Private not-for-profit, 4-year or above","1,000 - 4,999",Degree-granting,City: Large,No,https://www.kansascity.edu/,574,5,Health Professions,448,0,0,0,137,437,2061,,,,,,979,1082,51.3,4.5,6.8,25.3,0.2,0.1,4.4,2.0,5.2,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488174,Ea La Mar's Cosmetology & Barber College,Kansas City,MO,64127-1912,Jackson County,1.5,1,Core KC Metro (0-30 mi),Private for-profit,Less-than-two-year,"Private for-profit, less-than 2-year","Under 1,000",Nondegree-granting,City: Large,No,https://www.ealamarscollege.com/,13,4,Personal & Culinary Services,13,13,0,0,0,0,41,,,,,,22,19,9.8,70.7,19.5,0.0,0.0,0.0,0.0,0.0,0.0,31.7,,,,,,,,,,,,,,,,,18,,83.0,15,63.0,26,6105,63.0,26,6067,63.0,26,8027,6548,6437,,1000,8567,8567
177995,Metropolitan Community College-Kansas City,Kansas City,MO,64111-2429,Jackson County,2.2,1,Core KC Metro (0-30 mi),Public,Two-year,"Public, 2-year","10,000 - 19,999",Degree-granting,City: Large,No,www.mcckc.edu/,3429,44,Liberal Arts & General Studies,2375,1677,1752,0,0,0,17558,,,,,,7231,10327,56.2,15.5,14.3,2.9,0.2,0.3,6.6,2.8,1.2,19.5,,,,,2647,26.0,29.0,29.0,24.0,679,755,773,77,696,,12994,2003,15.4,83.0,1658,47.0,6051,4579,31.0,4022,4307,4.0,532,6360,5223,5442,2507,1625,4501,4501
497912,Concorde Career College-Broadway,Kansas City,MO,64111-2407,Jackson County,2.3,1,Core KC Metro (0-30 mi),Private for-profit,Less-than-two-year,"Private for-profit, less-than 2-year","Under 1,000",Nondegree-granting,City: Large,No,https://www.concorde.edu/campus/kansas-city-missouri,72,2,Health Professions,72,72,0,0,0,0,93,,,,,,4,89,16.1,41.9,10.8,0.0,1.1,1.1,1.1,28.0,0.0,77.4,,,,,,,,,,,,,,,,,78,,76.0,59,78.0,73,5430,75.0,70,4898,67.0,62,6299,5245,4826,,994,6625,5974
177746,Kansas City Art Institute,Kansas City,MO,64111-1874,Jackson County,3.7,1,Core KC Metro (0-30 mi),Private not-for-profit,Four-year or above,"Private not-for-profit, 4-year or above","Under 1,000",Degree-granting,City: Large,No,www.kcai.edu/,137,13,Visual & Performing Arts,109,0,0,137,0,0,811,,,,,,172,639,60.9,8.0,14.3,3.6,0.4,0.0,8.3,3.0,1.6,16.9,BA-seeking at 4yr (150%),138,80,58.0,163,48.0,57.0,57.0,29.0,78,93,93,0,0,93,789,240,30.4,100.0,240,100.0,788,27457,44.0,345,5742,69.0,548,6574,29760,6077,2425,25700,8313,5348
155007,Donnelly College,Kansas City,KS,66102,Wyandotte County,3.9,1,Core KC Metro (0-30 mi),Private not-for-profit,Four-year or above,"Private not-for-profit, 4-year or above","Under 1,000",Degree-granting,City: Midsize,No,www.donnelly.edu/,125,6,Health Professions,79,56,60,9,0,0,520,,,,,,117,403,16.2,42.3,29.2,4.6,2.1,0.0,4.2,1.3,0.0,24.0,BA-seeking at 4yr (150%),48,,,90,29.0,32.0,34.0,20.0,26,29,31,2,27,2,349,38,10.9,100.0,38,91.0,316,7920,67.0,233,4759,35.0,123,6746,9933,5895,4451,5884,3479,3479
178402,University of Missouri-Kansas City,Kansas City,MO,64110,Jackson County,4.5,1,Core KC Metro (0-30 mi),Public,Four-year or above,"Public, 4-year or above","10,000 - 19,999",Degree-granting,City: Large,No,https://www.umkc.edu/,3703,115,Health Professions,719,12,0,1596,1378,599,17378,,,,,,7274,10104,51.0,10.6,11.8,8.3,0.3,0.1,4.9,2.4,10.7,21.3,BA-seeking at 4yr (150%),1172,602,51.4,1246,36.0,55.0,57.0,30.0,447,687,712,42,0,670,10149,1242,12.2,98.0,1211,55.0,5632,11214,26.0,2678,5772,24.0,2427,8887,10982,6556,2670,6908,6949,5089
179043,Rockhurst University,Kansas City,MO,64110-2561,Jackson County,4.7,1,Core KC Metro (0-30 mi),Private not-for-profit,Four-year or above,"Private not-for-profit, 4-year or above","1,000 - 4,999",Degree-granting,City: Large,No,https://www.rockhurst.edu/,908,69,Health Professions,395,4,0,472,211,120,4068,,,,,,1390,2678,67.3,8.1,12.3,3.8,0.3,0.1,3.7,2.7,1.9,22.3,BA-seeking at 4yr (150%),401,298,74.3,404,71.0,77.0,77.0,18.0,287,312,313,0,0,313,2430,339,14.0,100.0,339,65.0,1577,31940,20.0,488,5302,35.0,852,6995,34562,6065,2450,31878,7924,5157
177588,House of Heavilin Beauty College-Kansas City,Kansas City,MO,64110-2826,Jackson County,5.3,1,Core KC Metro (0-30 mi),Private for-profit,Less-than-two-year,"Private for-profit, less-than 2-year","Under 1,000",Nondegree-granting,City: Large,No,kc-hair.com/,31,3,Personal & Culinary Services,31,26,0,0,0,0,96,,,,,,2,94,8.3,86.5,1.0,0.0,0.0,0.0,4.2,0.0,0.0,32.3,,,,,,,,,,,,,,,,,25,,96.0,24,73.0,70,6164,71.0,68,6026,53.0,51,8301,7058,7058,,,7586,7586
