UNITID,Institution Name,City,State,ZIP,County,Latitude,Longitude,Distance from KC (mi),Tier,Tier Label,Sector,Control,Level,Institution Category,Institution Size,Degree-Granting,Locale,HBCU,Status,CBSA,Website,Address
457697,City Vision University,Kansas City,MO,64106-3028,Jackson County,39.101164,-94.569475,0.5,1,Core KC Metro (0-30 mi),"Private not-for-profit, 4-year or above",Private not-for-profit,Four-year or above,"Degree-granting, not primarily baccalaureate or above","Under 1,000",Degree-granting,City: Large,No,Active,28140,https://www.cityvision.edu/,1100 E 11th Street
179812,Kansas City University,Kansas City,MO,64106-1453,Jackson County,39.107553,-94.561374,1.1,1,Core KC Metro (0-30 mi),"Private not-for-profit, 4-year or above",Private not-for-profit,Four-year or above,"Degree-granting, graduate with no undergraduate","1,000 - 4,999",Degree-granting,City: Large,No,Active,28140,https://www.kansascity.edu/,1750 Independence Ave
488174,Ea La Mar's Cosmetology & Barber College,Kansas City,MO,64127-1912,Jackson County,39.094285,-94.551962,1.5,1,Core KC Metro (0-30 mi),"Private for-profit, less-than 2-year",Private for-profit,Less-than-two-year,"Nondegree-granting, sub-baccalaureate","Under 1,000",Nondegree-granting,City: Large,No,Active,28140,https://www.ealamarscollege.com/,1510/1504 Prospect Ave
177995,Metropolitan Community College-Kansas City,Kansas City,MO,64111-2429,Jackson County,39.068668,-94.58966,2.2,1,Core KC Metro (0-30 mi),"Public, 2-year",Public,Two-year,"Degree-granting, associate and certificates","10,000 - 19,999",Degree-granting,City: Large,No,Active,28140,www.mcckc.edu/,3200 Broadway
497912,Concorde Career College-Broadway,Kansas City,MO,64111-2407,Jackson County,39.068021,-94.589739,2.3,1,Core KC Metro (0-30 mi),"Private for-profit, less-than 2-year",Private for-profit,Less-than-two-year,"Nondegree-granting, sub-baccalaureate","Under 1,000",Nondegree-granting,City: Large,No,Active,28140,https://www.concorde.edu/campus/kansas-city-missouri,3239 Broadway
177746,Kansas City Art Institute,Kansas City,MO,64111-1874,Jackson County,39.046353,-94.583594,3.7,1,Core KC Metro (0-30 mi),"Private not-for-profit, 4-year or above",Private not-for-profit,Four-year or above,"Degree-granting, primarily baccalaureate or above","Under 1,000",Degree-granting,City: Large,No,Active,28140,www.kcai.edu/,4415 Warwick Blvd
155007,Donnelly College,Kansas City,KS,66102,Wyandotte County,39.112346,-94.649827,3.9,1,Core KC Metro (0-30 mi),"Private not-for-profit, 4-year or above",Private not-for-profit,Four-year or above,"Degree-granting, not primarily baccalaureate or above","Under 1,000",Degree-granting,City: Midsize,No,Active,28140,www.donnelly.edu/,608 N 18th St
178402,University of Missouri-Kansas City,Kansas City,MO,64110,Jackson County,39.034179,-94.582141,4.5,1,Core KC Metro (0-30 mi),"Public, 4-year or above",Public,Four-year or above,"Degree-granting, primarily baccalaureate or above","10,000 - 19,999",Degree-granting,City: Large,No,Active,28140,https://www.umkc.edu/,5000 Holmes St.
179043,Rockhurst University,Kansas City,MO,64110-2561,Jackson County,39.032318,-94.573003,4.7,1,Core KC Metro (0-30 mi),"Private not-for-profit, 4-year or above",Private not-for-profit,Four-year or above,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Degree-granting,City: Large,No,Active,28140,https://www.rockhurst.edu/,1100 Rockhurst Rd
177588,House of Heavilin Beauty College-Kansas City,Kansas City,MO,64110-2826,Jackson County,39.022905,-94.574262,5.3,1,Core KC Metro (0-30 mi),"Private for-profit, less-than 2-year",Private for-profit,Less-than-two-year,"Nondegree-granting, sub-baccalaureate","Under 1,000",Nondegree-granting,City: Large,No,Active,28140,kc-hair.com/,5720 Troost
