Year,CIPCODE,CIP Family,CIP Family Name,Tier,Institutions Offering,Total Completions,Male,Female,American Indian/Alaska Native,Asian,Black/African American,Hispanic/Latino,Native Hawaiian/Pacific Islander,White,Two or More Races,Race/Ethnicity Unknown,Nonresident Alien
2021,01.0000,01,Agriculture,3,1,29,12,17,0,0,0,0,0,27,0,1,1
2021,01.0000,01,Agriculture,4,5,91,35,56,0,0,2,0,0,81,3,0,5
2021,01.0000,01,Agriculture,5,6,67,36,31,0,0,1,2,0,61,0,3,0
2021,01.0101,01,Agriculture,3,2,42,22,20,0,0,0,0,0,40,1,1,0
2021,01.0101,01,Agriculture,4,2,137,80,57,0,1,1,3,0,122,1,3,6
2021,01.0101,01,Agriculture,5,5,113,66,47,0,0,0,1,0,111,0,1,0
2021,01.0102,01,Agriculture,2,1,1,0,1,0,0,0,0,0,1,0,0,0
2021,01.0102,01,Agriculture,3,3,73,40,33,0,2,0,0,0,69,2,0,0
2021,01.0102,01,Agriculture,4,1,46,31,15,0,0,1,0,0,44,0,0,1
2021,01.0102,01,Agriculture,5,5,53,21,32,0,0,2,2,0,44,3,1,1
2021,01.0103,01,Agriculture,4,3,69,41,28,0,0,1,0,0,57,0,3,8
2021,01.0104,01,Agriculture,3,3,7,5,2,0,0,0,0,0,7,0,0,0
2021,01.0104,01,Agriculture,5,7,39,30,9,0,0,0,5,0,32,1,1,0
2021,01.0105,01,Agriculture,5,2,0,0,0,0,0,0,0,0,0,0,0,0
2021,01.0199,01,Agriculture,2,1,32,17,15,0,0,0,0,0,32,0,0,0
2021,01.0199,01,Agriculture,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2021,01.0201,01,Agriculture,4,3,46,46,0,0,0,0,0,0,44,2,0,0
2021,01.0201,01,Agriculture,5,2,20,18,2,0,0,0,1,0,18,0,1,0
2021,01.0205,01,Agriculture,3,1,10,10,0,0,0,0,0,0,10,0,0,0
2021,01.0205,01,Agriculture,5,4,37,36,1,1,0,0,4,0,30,0,2,0
2021,01.0301,01,Agriculture,5,3,27,20,7,0,0,0,0,0,27,0,0,0
2021,01.0302,01,Agriculture,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2021,01.0302,01,Agriculture,5,2,4,2,2,0,0,0,0,0,3,0,1,0
2021,01.0304,01,Agriculture,4,1,2,1,1,0,0,0,0,0,2,0,0,0
2021,01.0304,01,Agriculture,5,1,2,2,0,0,0,0,0,0,2,0,0,0
2021,01.0306,01,Agriculture,4,1,2,2,0,0,0,0,0,0,2,0,0,0
2021,01.0307,01,Agriculture,4,3,16,0,16,0,0,0,0,0,15,1,0,0
2021,01.0307,01,Agriculture,5,2,4,0,4,0,0,0,0,0,4,0,0,0
2021,01.0308,01,Agriculture,1,1,3,1,2,0,0,0,0,0,3,0,0,0
2021,01.0308,01,Agriculture,3,1,6,6,0,0,0,0,0,0,6,0,0,0
2021,01.0308,01,Agriculture,5,1,41,37,4,0,0,0,0,0,41,0,0,0
2021,01.0401,01,Agriculture,4,1,34,20,14,0,0,1,1,0,30,0,1,1
2021,01.0401,01,Agriculture,5,1,53,24,29,0,1,8,13,0,31,0,0,0
2021,01.0507,01,Agriculture,4,3,33,0,33,0,0,1,0,0,32,0,0,0
