Year,UNITID,Institution Name,City,State,County,Tier,Tier Label,Control,Level,Total Completions,Male,Female,Unique Programs (CIP),Top CIP Family,Top CIP Family Completions,Certificate (< 2 yr) Completions,Associate's Completions,Certificate (2-4 yr) Completions,Bachelor's Completions,Post-baccalaureate Certificate Completions,Master's Completions,Post-master's Certificate Completions,Doctoral Completions,Other Completions
2021,154642,Allen County Community College,Iola,KS,Allen County,3,Regional (60-100 mi),Public,Two-year,381,115,266,18,Liberal Arts & General Studies,251,22,280,0,0,79,0,0,0,0
2021,154688,Baker University,Baldwin City,KS,Douglas County,2,KC Fringe (30-60 mi),Private not-for-profit,Four-year or above,678,241,437,50,"Business, Management & Marketing",269,0,9,0,342,1,300,0,26,0
2021,154697,Barton County Community College,Great Bend,KS,Barton County,5,Outer MO+KS (150+ mi),Public,Two-year,989,434,555,92,Liberal Arts & General Studies,382,233,593,0,0,163,0,0,0,0
2021,154712,Benedictine College,Atchison,KS,Atchison County,2,KC Fringe (30-60 mi),Private not-for-profit,Four-year or above,425,187,238,56,"Business, Management & Marketing",117,0,0,0,390,0,35,0,0,0
2021,154721,Bethany College,Lindsborg,KS,McPherson County,5,Outer MO+KS (150+ mi),Private not-for-profit,Four-year or above,134,54,80,41,"Parks, Recreation & Fitness",28,0,0,0,134,0,0,0,0,0
2021,154749,Bethel College-North Newton,North Newton,KS,Harvey County,5,Outer MO+KS (150+ mi),Private not-for-profit,Four-year or above,75,25,50,24,Health Professions,16,2,0,0,73,0,0,0,0,0
2021,154800,Butler Community College,El Dorado,KS,Butler County,5,Outer MO+KS (150+ mi),Public,Two-year,1416,479,937,93,Liberal Arts & General Studies,492,163,1088,0,0,165,0,0,0,0
2021,154855,Central Christian College of Kansas,McPherson,KS,McPherson County,5,Outer MO+KS (150+ mi),Private not-for-profit,Four-year or above,171,88,83,40,Homeland Security & Protective Services,41,0,34,0,137,0,0,0,0,0
2021,154907,Cloud County Community College,Concordia,KS,Cloud County,5,Outer MO+KS (150+ mi),Public,Two-year,448,191,257,16,Liberal Arts & General Studies,205,89,268,0,0,91,0,0,0,0
2021,154925,Coffeyville Community College,Coffeyville,KS,Montgomery County,5,Outer MO+KS (150+ mi),Public,Two-year,374,175,199,19,Liberal Arts & General Studies,178,92,223,0,0,59,0,0,0,0
2021,154934,Colby Community College,Colby,KS,Thomas County,5,Outer MO+KS (150+ mi),Public,Two-year,398,100,298,23,Liberal Arts & General Studies,162,143,231,0,0,24,0,0,0,0
2021,154952,Cowley County Community College,Arkansas City,KS,Cowley County,5,Outer MO+KS (150+ mi),Public,Two-year,848,355,493,28,Liberal Arts & General Studies,391,204,486,0,0,158,0,0,0,0
2021,154998,Dodge City Community College,Dodge City,KS,Ford County,5,Outer MO+KS (150+ mi),Public,Two-year,316,90,226,69,Health Professions,205,18,118,0,0,180,0,0,0,0
2021,155007,Donnelly College,Kansas City,KS,Wyandotte County,1,Core KC Metro (0-30 mi),Private not-for-profit,Four-year or above,88,19,69,7,Liberal Arts & General Studies,43,33,43,0,12,0,0,0,0,0
2021,155025,Emporia State University,Emporia,KS,Lyon County,3,Regional (60-100 mi),Public,Four-year or above,1838,556,1282,76,Education,745,0,0,0,713,27,1074,21,3,0
2021,155052,Flint Hills Technical College,Emporia,KS,Lyon County,4,Statewide Reach (100-150 mi),Public,Two-year,333,166,167,21,Health Professions,146,150,105,0,0,78,0,0,0,0
2021,155061,Fort Hays State University,Hays,KS,Ellis County,5,Outer MO+KS (150+ mi),Public,Four-year or above,4291,1586,2705,64,"Business, Management & Marketing",1391,0,96,0,3217,0,924,37,17,0
2021,155070,Barclay College,Haviland,KS,Kiowa County,5,Outer MO+KS (150+ mi),Private not-for-profit,Four-year or above,38,18,20,11,Theology & Religious Vocations,22,0,5,0,17,0,16,0,0,0
2021,155089,Friends University,Wichita,KS,Sedgwick County,5,Outer MO+KS (150+ mi),Private not-for-profit,Four-year or above,508,190,318,56,"Business, Management & Marketing",167,1,0,0,282,0,225,0,0,0
2021,155098,Fort Scott Community College,Fort Scott,KS,Bourbon County,3,Regional (60-100 mi),Public,Two-year,452,160,292,25,Health Professions,197,97,199,0,0,156,0,0,0,0
2021,155104,Garden City Community College,Garden City,KS,Finney County,5,Outer MO+KS (150+ mi),Public,Two-year,594,233,361,20,Liberal Arts & General Studies,227,191,267,0,0,136,0,0,0,0
2021,155140,Haskell Indian Nations University,Lawrence,KS,Douglas County,2,KC Fringe (30-60 mi),Public,Four-year or above,160,53,107,14,"Business, Management & Marketing",51,0,66,0,94,0,0,0,0,0
2021,155159,Hays Academy of Hair Design,Hays,KS,Ellis County,5,Outer MO+KS (150+ mi),Private for-profit,Less-than-two-year,46,0,46,2,Personal & Culinary Services,46,46,0,0,0,0,0,0,0,0
2021,155177,Hesston College,Hesston,KS,Harvey County,5,Outer MO+KS (150+ mi),Private not-for-profit,Four-year or above,128,43,85,6,Liberal Arts & General Studies,71,0,75,0,53,0,0,0,0,0
2021,155186,Highland Community College,Highland,KS,Doniphan County,3,Regional (60-100 mi),Public,Two-year,617,177,440,43,Health Professions,344,99,229,0,0,289,0,0,0,0
2021,155195,Hutchinson Community College,Hutchinson,KS,Reno County,5,Outer MO+KS (150+ mi),Public,Two-year,1537,612,925,58,Health Professions,752,442,784,0,0,311,0,0,0,0
2021,155201,Independence Community College,Independence,KS,Montgomery County,4,Statewide Reach (100-150 mi),Public,Two-year,205,74,131,32,Liberal Arts & General Studies,83,15,115,0,0,75,0,0,0,0
